Year,Month_AR,Month_EN,Service_AR,Service_EN,Number of Shops Visited
2018.0,نوفمبر,November,محلات تم زيارتها,Shops Visited,2126.0
2019.0,ابريل,April,محلات تم زيارتها,Shops Visited,3770.0
2019.0,يونيو,June,محلات تم زيارتها,Shops Visited,1817.0
2019.0,يوليو,July,محلات تم زيارتها,Shops Visited,2991.0
2019.0,سبتمبر,September,محلات تم زيارتها,Shops Visited,2952.0
2019.0,اكتوبر,October,محلات تم زيارتها,Shops Visited,1802.0
2020.0,فبراير,February,محلات تم زيارتها,Shops Visited,541.0
2020.0,مارس,March,محلات تم زيارتها,Shops Visited,1738.0
2020.0,مايو,May,محلات تم زيارتها,Shops Visited,512.0
2020.0,يونيو,June,محلات تم زيارتها,Shops Visited,721.0
2020.0,سبتمبر,September,محلات تم زيارتها,Shops Visited,748.0
2020.0,اكتوبر,October,محلات تم زيارتها,Shops Visited,850.0
2020.0,نوفمبر,November,محلات تم زيارتها,Shops Visited,468.0
2021.0,يناير,January,محلات تم زيارتها,Shops Visited,1005.0
2021.0,فبراير,February,محلات تم زيارتها,Shops Visited,1014.0
2021.0,يونيو,June,محلات تم زيارتها,Shops Visited,1048.0
2021.0,ديسيمبر,December,محلات تم زيارتها,Shops Visited,596.0
2022.0,فبراير,February,محلات تم زيارتها,Shops Visited,1111.0
2015.0,يونيو,June,محلات تم زيارتها,Shops Visited,1784.0
2015.0,سبتمبر,September,محلات تم زيارتها,Shops Visited,2183.0
2015.0,ديسيمبر,December,محلات تم زيارتها,Shops Visited,2030.0
2016.0,مايو,May,محلات تم زيارتها,Shops Visited,2415.0
2016.0,يوليو,July,محلات تم زيارتها,Shops Visited,1755.0
2016.0,اغسطس,August,محلات تم زيارتها,Shops Visited,2161.0
2017.0,ابريل,April,محلات تم زيارتها,Shops Visited,1036.0
2017.0,اكتوبر,October,محلات تم زيارتها,Shops Visited,1392.0
2017.0,ديسيمبر,December,محلات تم زيارتها,Shops Visited,672.0
2018.0,يناير,January,محلات تم زيارتها,Shops Visited,2015.0
2018.0,فبراير,February,محلات تم زيارتها,Shops Visited,1774.0
2018.0,مايو,May,محلات تم زيارتها,Shops Visited,2639.0
2018.0,اكتوبر,October,محلات تم زيارتها,Shops Visited,2521.0
2019.0,يناير,January,محلات تم زيارتها,Shops Visited,2568.0
2019.0,فبراير,February,محلات تم زيارتها,Shops Visited,3341.0
2019.0,مارس,March,محلات تم زيارتها,Shops Visited,3378.0
2019.0,نوفمبر,November,محلات تم زيارتها,Shops Visited,1714.0
2019.0,ديسيمبر,December,محلات تم زيارتها,Shops Visited,1119.0
2020.0,يناير,January,محلات تم زيارتها,Shops Visited,603.0
2020.0,اغسطس,August,محلات تم زيارتها,Shops Visited,638.0
2020.0,ديسيمبر,December,محلات تم زيارتها,Shops Visited,415.0
2021.0,مايو,May,محلات تم زيارتها,Shops Visited,918.0
2021.0,يوليو,July,محلات تم زيارتها,Shops Visited,666.0
2022.0,يناير,January,محلات تم زيارتها,Shops Visited,582.0
2022.0,ابريل,April,محلات تم زيارتها,Shops Visited,724.0
2022.0,يوليو,July,محلات تم زيارتها,Shops Visited,519.0
